booking id|price|description|date
2|10|decoration_flowers|2016-04-05
5|15|decoration_romantic_flowers|2016-05-09
10|15|decoration_romantic_flowers|2016-04-06
15|10|decoration_flowers|2016-04-30
17|100|amusement_live_music|2016-07-03
19|10|decoration_flowers|2016-06-20
23|10|decoration_flowers|2016-06-16
25|10|decoration_flowers|2016-04-11
27|10|decoration_flowers|2016-04-30
29|10|decoration_flowers|2016-04-29
31|10|decoration_flowers|2016-06-30
34|10|decoration_flowers|2016-06-27
35|20|decoration_party|2016-07-03
40|100|amusement_clown|2016-06-02
44|10|decoration_flowers|2016-06-04
46|10|decoration_flowers|2016-05-22
47|10|decoration_flowers|2016-05-30
48|10|decoration_flowers|2016-06-07
49|100|amusement_live_music|2016-06-07
50|100|amusement_clown|2016-06-08
54|15|decoration_romantic_flowers|2016-05-28
60|10|decoration_flowers|2016-05-25
61|10|decoration_flowers|2016-06-22
63|100|amusement_live_music|2016-05-26
65|15|decoration_romantic_flowers|2016-04-09
67|10|decoration_flowers|2016-04-15
70|100|amusement_live_music|2016-05-03
71|10|decoration_flowers|2016-06-15
78|100|amusement_live_music|2016-05-02
80|100|amusement_clown|2016-05-05
81|100|amusement_live_music|2016-06-07
84|10|decoration_flowers|2016-06-04
85|10|decoration_flowers|2016-06-10
86|100|amusement_live_music|2016-06-11
87|10|decoration_flowers|2016-06-10
90|100|amusement_live_music|2016-05-22
97|20|decoration_party|2016-05-20
100|100|amusement_clown|2016-06-11
102|10|decoration_flowers|2016-04-27
105|10|decoration_flowers|2016-05-20
106|100|amusement_live_music|2016-05-08
109|10|decoration_flowers|2016-06-15
110|10|decoration_flowers|2016-05-11
111|100|amusement_live_music|2016-04-23
112|100|amusement_clown|2016-04-22
114|10|decoration_flowers|2016-05-04
116|20|decoration_party|2016-05-05
122|100|amusement_live_music|2016-04-20
123|10|decoration_flowers|2016-04-18
124|20|decoration_party|2016-06-09
125|10|decoration_flowers|2016-06-09
126|100|amusement_clown|2016-06-03
128|100|amusement_live_music|2016-05-09
130|10|decoration_flowers|2016-05-09
131|10|decoration_flowers|2016-05-07
134|10|decoration_flowers|2016-05-08
136|10|decoration_flowers|2016-06-30
137|100|amusement_clown|2016-07-06
138|10|decoration_flowers|2016-07-02
139|10|decoration_flowers|2016-06-30
142|10|decoration_flowers|2016-05-31
150|100|amusement_clown|2016-05-04
152|10|decoration_flowers|2016-06-11
158|10|decoration_flowers|2016-04-26
163|10|decoration_flowers|2016-06-10
164|10|decoration_flowers|2016-06-04
165|15|decoration_romantic_flowers|2016-06-07
166|10|decoration_flowers|2016-05-31
167|100|amusement_live_music|2016-05-21
168|100|amusement_clown|2016-05-25
169|10|decoration_flowers|2016-06-09
170|10|decoration_flowers|2016-05-11
171|10|decoration_flowers|2016-05-13
173|10|decoration_flowers|2016-06-21
174|10|decoration_flowers|2016-06-22
177|10|decoration_flowers|2016-05-28
178|10|decoration_flowers|2016-06-01
179|100|amusement_clown|2016-04-11
180|10|decoration_flowers|2016-04-28
181|10|decoration_flowers|2016-04-27
185|10|decoration_flowers|2016-06-28
186|10|decoration_flowers|2016-05-10
187|10|decoration_flowers|2016-05-31
189|20|decoration_party|2016-06-05
190|100|amusement_live_music|2016-06-05
192|100|amusement_clown|2016-06-10
195|100|amusement_clown|2016-06-10
196|100|amusement_clown|2016-06-17
197|10|decoration_flowers|2016-06-17
200|10|decoration_flowers|2016-05-18
201|10|decoration_flowers|2016-05-17
203|100|amusement_live_music|2016-06-10
204|10|decoration_flowers|2016-04-22
206|10|decoration_flowers|2016-04-21
207|10|decoration_flowers|2016-04-20
212|10|decoration_flowers|2016-04-05
214|10|decoration_flowers|2016-06-18
219|10|decoration_flowers|2016-04-18
220|10|decoration_flowers|2016-04-17
221|15|decoration_romantic_flowers|2016-04-17
222|10|decoration_flowers|2016-04-17
